device_id    expected_vendor                               inferred_vendor          device_oui                                                         is_correct
s3ea243587f  sonos                                         sonos                    Sonos, Inc.                                                                 1
s63a7cde228  amazon                                        amazon                   Amazon Technologies Inc.                                                    1
sc54b780bb2  apple                                         apple                    Apple, Inc.                                                                 1
s6aaf38c6fd  ikea                                          ikea                     Murata Manufacturing Co., Ltd.                                              1
s4c4b383d1e  nintendo                                      nintendo                 Nintendo Co.,Ltd                                                            1
s943d2e8e6d  rachio                                        ikea                     Murata Manufacturing Co., Ltd.                                              0
s209584b91d  apple                                         apple                    Apple, Inc.                                                                 1
sab8c53f7cc  ikea                                          ikea                     Murata Manufacturing Co., Ltd.                                              1
sc1383fdd0c  apple                                         apple                    Apple, Inc.                                                                 1
sfe934ca0eb  levitron                                      leviton                  Leviton Manufacturing Co., Inc.                                             0
sa178230de4  nintendo                                      nintendo                 Nintendo Co.,Ltd                                                            1
s3709961f62  google                                        google                   HTC Corporation                                                             1
s19b0ce3d2f  neeo                                                                   CC&C Technologies, Inc                                                      0
s8f9679c76b  apple                                         apple                    Apple, Inc.                                                                 1
s312f0816f1  apple                                         apple                    Apple, Inc.                                                                 1
s38aaa5deb9  epson                                         epson                    Seiko Epson Corporation                                                     1
s5efe068e58  apple                                         apple                    Apple, Inc.                                                                 1
sb3c6724023  philips                                       philips                  Philips Lighting BV                                                         1
s4d6e2ce6b9  apple                                         apple                    Apple, Inc.                                                                 1
sb65d7ce032  apple                                         apple                    Apple, Inc.                                                                 1
s860724ec30  apple                                         apple                    Apple, Inc.                                                                 1
s862a714865  samsung                                       samsung                  Samsung Electronics Co.,Ltd                                                 1
s13ac430669  netgear                                       netgear                  NETGEAR                                                                     1
se811db50e8  brother                                       sony                     Hon Hai Precision Ind. Co.,Ltd.                                             0
se73f502e75  apple                                         apple                    Apple, Inc.                                                                 1
s5d26945643  apple                                         apple                    Apple, Inc.                                                                 1
sc249cefa45  apple                                         apple                    Apple, Inc.                                                                 1
sfe8262639f  apple                                         apple                    Apple, Inc.                                                                 1
s086b0cddb3  vantage                                                                Vantage Controls                                                            0
s76460c00eb  apple                                         apple                    Apple, Inc.                                                                 1
sa38699ac7e  apple                                         apple                    Apple, Inc.                                                                 1
s78ca73a5ea  siemens                                       siemens                  Siemens AG A&D ET                                                           1
s55071353f8  insteon                                                                                                                                            0
sd9a8eb92c9  apple                                         apple                    Apple, Inc.                                                                 1
s65fa01b0fd  apple                                         apple                    Apple, Inc.                                                                 1
s090a89972b  apple                                         apple                    Apple, Inc.                                                                 1
s99a98cb76d  hewlet-packard                                sony                     Hon Hai Precision Ind. Co.,Ltd.                                             0
scf493db745  idevices                                      idevices                 iDevices, LLC                                                               1
sea70a4cbba  sony                                          sony                     Sony Corporation                                                            1
s2e10af6df5  surepet                                       heatmiser                Microchip Technology Inc.                                                   0
sdd6a9f5bb9  apple                                         apple                    Apple, Inc.                                                                 1
se8d99f14e2  apple                                         apple                    Apple, Inc.                                                                 1
