device_id    expected_vendor                               inferred_vendor            is_same
s230d0dc7dc  sonoff                                        espressif                        0
s292fabf1c2  apple                                         apple                            1
s5ad31d05cc  quectel                                       apple                            0
sfd3be66435  fritz                                         apple                            0
s9fc98ecb0f  fritz                                         avm                              0
sb07247a99d  brother                                       brother                          1
s964bcc255b  hp                                            brother                          0
seb5f6f39a9  philips                                       philips                          1
s2a8686a593  apple                                         apple                            1
sb93059e9df  apple                                         apple                            1
scda2004592  panasonic                                     panasonic                        1
sa6516b7e6c  brother                                       brother                          1
s5be0b10f70  silicondust                                   silicondust                      1
s63a6b883e1  vivotek                                       toshiba                          0
s62dfcd6633  vivotek                                       toshiba                          0
s19cd553fa0  synology                                      synology                         1
sc6baa46c93  broadlink                                     brother                          0
s3ed5fbba98  meraki                                        apple                            0
s81c24986fa  silicondust                                   silicondust                      1
s986b7e9392  tp-link                                       tp-link                          1
s661b7612fa  tp link                                       tp-link                          1
se2dd5ab363  digital                                       apple                            0
s9b0ec11f63  hp                                            hp                               1
sb1f45845e4  apc                                           apc                              1
sf580f7ba59  samsung                                       ikea                             0
s08ea8bb036  xiaomi                                        espressif                        0
sd374857e42  brother                                       apple                            0
s5f79aa3de1  sonos                                         sonos                            1
seb7b12f8c7  tp link                                       tp-link                          1
sf1697f8fea  apple                                         apple                            1
s6900c3812f  brother                                       brother                          1
s0537e07254  ripe atlas                                    apple                            0
s53cbf915a7  apple                                         apple                            1
sd03efccacc  brother                                       brother                          1
s04cff4dcfb  comcast                                       apple                            0
s18b636bc01  apple                                         apple                            1
sb712a13c26  trendnet                                      trendnet                         1
sf104ae9be6  netgear                                       netgear                          1
s59ea4b31c0  ubiquiti                                      ubiquiti                         1
sf5ec0dff31  vizio                                         vizio                            1
sc0707a39b1  amcrest                                       dahua                            0
s33e7cb48a1  amcrest                                       amcrest                          1
sed85ffb8b3  brother                                       brother                          1
s1851f5ee05  brother                                       brother                          1
scd08425438  ankuoo                                        apple                            0
s82fbe15017  ankuoo                                        apple                            0
s6a8045571f  isymphony                                     heatmiser                        0
saa2cac3f2e  pal lighting                                  apple                            0
s3b6db264a1  brother                                       brother                          1
s1d0aaacf34  apple                                         apple                            1
se9b1cf2b40  mission                                       apple                            0
s6647e8fb1c  philips                                       philips                          1
sa1b085f869  western digital                               wd                               0
s89534e5872  buffalo                                       apple                            0
sf36f134a37  nintendo                                      nintendo                         1
sbb5ca27b81  netgear                                       netgear                          1
sb2c2f19369  chamberlain                                   apple                            0
s94e000a0f4  logitech                                      logitech                         1
sdc16637671  amazon                                        amazon                           1
s66de62f465  koogeek                                       koogeek                          1
saa1409d3cb  canon                                         apple                            0
sd3a4b79d0e  hewlett packard                               apple                            0
s5b6b12fefd  hewlett packard                               hp                               0
sc4ed53427c  apple                                         apple                            1
